Gene	sgRNA	eff
ACTR3	ACTR3_p114691894	1
ACTR5	ACTR5_m37377141	1
ACTR5	ACTR5_m37377155	1
ACTR5	ACTR5_m37377161	1
ACTR5	ACTR5_m37377171	1
ACTR5	ACTR5_m37377189	1
ACTR5	ACTR5_p37377163	1
ACTR5	ACTR5_p37377178	1
ACTR5	ACTR5_p37377198	1
ACTR5	ACTR5_p37377204	1
ACTR5	ACTR5_p37377211	1
ACTR8	ACTR8_m53916047	1
ACTR8	ACTR8_m53916057	1
ACTR8	ACTR8_m53916067	1
ACTR8	ACTR8_m53916073	1
ACTR8	ACTR8_m53916081	1
ACTR8	ACTR8_m53916091	1
ACTR8	ACTR8_m53916096	1
ACTR8	ACTR8_m53916103	1
ACTR8	ACTR8_m53916111	1
ACTR8	ACTR8_m53916121	1
ACTRT3	ACTRT3_m169487192	1
ACTRT3	ACTRT3_m169487204	1
ACTRT3	ACTRT3_m169487242	1
ACTRT3	ACTRT3_m169487247	1
ACTRT3	ACTRT3_m169487252	1
ACTRT3	ACTRT3_m169487267	1
ACTRT3	ACTRT3_m169487273	1
ACTRT3	ACTRT3_m169487289	1
ACTRT3	ACTRT3_p169487206	1
ACTRT3	ACTRT3_p169487280	1
ACVR1B	ACVR1B_m52369170	1
ACVR1B	ACVR1B_m52369187	1
ACVR1B	ACVR1B_m52369192	1
ACVR1B	ACVR1B_m52369211	1
ACVR1B	ACVR1B_m52369226	1
ACVR1B	ACVR1B_m52369237	1
ACVR1B	ACVR1B_p52369196	1
ACVR1B	ACVR1B_p52369243	1
ACVR1B	ACVR1B_p52369255	1
ACVR1B	ACVR1B_p52369266	1
ACVR1C	ACVR1C_m158401016	1
ACVR1C	ACVR1C_m158401030	1
ACVR1C	ACVR1C_m158401075	1
ACVR1C	ACVR1C_m158401097	1
ACVR1C	ACVR1C_m158401113	1
ACVR1C	ACVR1C_m158443700	1
ACVR1C	ACVR1C_m158443841	1
ACVR1C	ACVR1C_p158443781	1
ACVR1C	ACVR1C_p158443786	1
ACVR1C	ACVR1C_p158443795	1
ACVR1	ACVR1_m158637033	1
ACVR1	ACVR1_m158637046	1
ACVR1	ACVR1_m158637054	1
ACVR1	ACVR1_m158637066	1
ACVR1	ACVR1_m158655997	1
ACVR1	ACVR1_p158637019	1
ACVR1	ACVR1_p158637035	1
ACVR1	ACVR1_p158637068	1
ACVR1	ACVR1_p158655928	1
ACVR1	ACVR1_p158655958	1
ACVR2A	ACVR2A_m148602752	1
ACVR2A	ACVR2A_m148602767	1
ACVR2A	ACVR2A_m148653941	1
ACVR2A	ACVR2A_m148653961	1
ACVR2A	ACVR2A_p148602720	1
ACVR2A	ACVR2A_p148602754	1
ACVR2A	ACVR2A_p148653859	1
ACVR2A	ACVR2A_p148653946	1
ACVR2A	ACVR2A_p148653965	1
ACVR2A	ACVR2A_p148653997	1
ACVR2B	ACVR2B_m38495825	1
ACVR2B	ACVR2B_m38518828	1
ACVR2B	ACVR2B_m38518849	1
ACVR2B	ACVR2B_p38495805	1
ACVR2B	ACVR2B_p38495827	1
ACVR2B	ACVR2B_p38518810	1
ACVR2B	ACVR2B_p38518817	1
ACVR2B	ACVR2B_p38518836	1
ACVR2B	ACVR2B_p38518841	1
ACVR2B	ACVR2B_p38518854	1
ACVRL1	ACVRL1_m52306276	1
ACVRL1	ACVRL1_m52306307	1
ACVRL1	ACVRL1_m52306881	1
ACVRL1	ACVRL1_m52306910	1
ACVRL1	ACVRL1_m52306921	1
ACVRL1	ACVRL1_p52306245	1
ACVRL1	ACVRL1_p52306281	1
ACVRL1	ACVRL1_p52306287	1
ACVRL1	ACVRL1_p52306296	1
ACVRL1	ACVRL1_p52306883	1
ADAD1	ADAD1_m123301295	1
ADAD1	ADAD1_m123301308	1
ADAD1	ADAD1_m123301332	1
ADAD1	ADAD1_m123301345	1
ADAD1	ADAD1_m123301366	1
ADAD1	ADAD1_p123301314	1
ADAD1	ADAD1_p123301335	1
ADAD1	ADAD1_p123301349	1
ADAD1	ADAD1_p123301358	1
ADAD1	ADAD1_p123301373	1
ADAM10	ADAM10_m58974490	1
ADAM10	ADAM10_m59009777	1
ADAM10	ADAM10_m59009866	1
ADAM10	ADAM10_m59009883	1
ADAM10	ADAM10_m59041689	1
ADAM10	ADAM10_m59041696	1
ADAM10	ADAM10_p58974401	1
ADAM10	ADAM10_p58974481	1
ADAM10	ADAM10_p59009761	1
ADAM10	ADAM10_p59009767	1
ADAM12	ADAM12_m128018982	1
ADAM12	ADAM12_m128019019	1
ADAM12	ADAM12_m128019025	1
ADAM12	ADAM12_m128076635	1
ADAM12	ADAM12_m128076658	1
ADAM12	ADAM12_p128018991	1
ADAM12	ADAM12_p128019039	1
ADAM12	ADAM12_p128076618	1
ADAM12	ADAM12_p128076641	1
ADAM12	ADAM12_p128076650	1
ADAMTS5	ADAMTS5_m28338537	1
ADAMTS5	ADAMTS5_m28338697	1
ADAMTS5	ADAMTS5_m28338702	1
ADAMTS5	ADAMTS5_p28338524	1
ADAMTS5	ADAMTS5_p28338585	1
ADAMTS5	ADAMTS5_p28338596	1
ADAMTS5	ADAMTS5_p28338607	1
ADAMTS5	ADAMTS5_p28338612	1
ADAMTS5	ADAMTS5_p28338620	1
ADAMTS5	ADAMTS5_p28338667	1
ADAP1	ADAP1_m975089	1
ADAP1	ADAP1_m975116	1
ADAP1	ADAP1_m975132	1
ADAP1	ADAP1_m994042	1
ADAP1	ADAP1_m994066	1
ADAP1	ADAP1_m994071	1
ADAP1	ADAP1_m994091	1
ADAP1	ADAP1_m994101	1
ADAP1	ADAP1_m994106	1
ADAP1	ADAP1_p975103	1
ADARB1	ADARB1_m46591572	1
ADARB1	ADARB1_m46595675	1
ADARB1	ADARB1_m46595697	1
ADARB1	ADARB1_m46595715	1
ADARB1	ADARB1_m46595721	1
ADARB1	ADARB1_m46595779	1
ADARB1	ADARB1_p46595645	1
ADARB1	ADARB1_p46595700	1
ADARB1	ADARB1_p46595705	1
ADARB1	ADARB1_p46595724	1
